centrality,strength,degree,ID,yr,mnth,path,spatthresh,tempthresh
0.987201552984777,0.999132092898417,4,A,2017,2,input/locs-a.csv,50,20 minutes
0.0708728143060336,0.767996780734614,4,B,2017,2,input/locs-a.csv,50,20 minutes
1,1.02670530799883,4,C,2017,2,input/locs-a.csv,50,20 minutes
0.566148668308256,0,0,D,2017,2,input/locs-a.csv,50,20 minutes
0.119758833961704,0.428405718659748,6,E,2017,2,input/locs-a.csv,50,20 minutes
0.856296633165008,0.872249683431282,3,F,2017,2,input/locs-a.csv,50,20 minutes
0.0663554137943653,0.501005131321552,4,G,2017,2,input/locs-a.csv,50,20 minutes
0.0617889248346556,0.132863673902784,4,H,2017,2,input/locs-a.csv,50,20 minutes
0.881072612246415,0.909586237751834,3,I,2017,2,input/locs-a.csv,50,20 minutes
0.0694027866645825,0.650707535817607,4,J,2017,2,input/locs-a.csv,50,20 minutes
